iteration,mhd_score
0,366.193845
1,366.193845
2,366.193845
3,366.193845
4,366.193845
5,366.193845
6,365.370194
7,365.370194
8,365.370194
9,362.759448
10,362.759448
11,361.876431
12,345.637417
13,345.637417
14,345.637417
15,345.637417
16,345.637417
17,345.637417
18,345.637417
19,345.637417
20,345.637417
21,345.637417
22,345.637417
23,345.637417
24,345.637417
25,345.637417
26,345.637417
27,345.637417
28,345.637417
29,345.637417
30,345.637417
31,345.637417
32,345.637417
33,345.637417
34,345.637417
35,345.637417
36,345.637417
37,345.637417
38,345.637417
39,345.637417
40,345.637417
41,345.637417
42,345.637417
43,345.637417
44,345.637417
45,345.637417
46,345.637417
47,345.637417
48,345.637417
49,345.637417
50,345.637417
51,345.637417
52,345.637417
53,345.637417
54,345.637417
55,345.637417
56,345.637417
57,345.637417
58,345.637417
59,345.637417
60,339.459026
61,320.520371
62,320.520371
63,312.366458
64,312.366458
65,312.366458
66,312.366458
67,312.366458
68,312.366458
69,312.366458
70,312.366458
71,312.366458
72,312.366458
73,312.366458
74,312.366458
75,312.366458
76,312.366458
77,312.366458
78,312.366458
79,312.366458
80,312.366458
81,312.366458
82,312.366458
83,312.366458
84,312.366458
85,312.366458
86,312.366458
87,312.366458
88,312.366458
89,312.366458
90,312.366458
91,312.366458
92,312.366458
93,312.366458
94,312.366458
95,312.366458
96,312.366458
97,312.366458
98,312.366458
99,312.366458
100,312.366458
101,312.366458
102,312.366458
103,312.366458
104,312.366458
105,312.366458
106,312.366458
107,312.366458
108,312.366458
109,312.366458
110,312.366458
111,312.366458
112,312.366458
113,312.366458
114,312.366458
115,312.366458
116,312.366458
117,312.366458
118,312.366458
119,312.366458
120,312.366458
121,312.366458
122,312.366458
123,312.366458
124,312.366458
125,312.366458
126,312.366458
127,312.366458
128,312.366458
129,312.366458
130,312.366458
131,312.366458
132,297.519151
133,293.987657
134,292.164745
135,288.883231
136,288.883231
137,288.883231
138,282.200001
139,282.200001
140,282.200001
141,282.200001
142,282.200001
143,282.200001
144,282.200001
145,282.200001
146,279.992236
147,279.992236
148,279.992236
149,279.992236
150,279.992236
151,279.992236
152,279.992236
153,279.992236
154,279.992236
155,279.992236
156,279.992236
157,279.992236
158,279.992236
159,279.992236
160,279.992236
161,279.992236
162,279.992236
163,279.992236
164,279.992236
165,279.992236
166,279.992236
167,279.992236
168,279.992236
169,279.992236
170,278.733875
171,278.733875
172,278.733875
173,278.733875
174,278.733875
175,278.733875
176,278.733875
177,278.733875
178,278.733875
179,278.733875
180,278.733875
181,278.733875
182,278.733875
183,278.733875
184,278.733875
185,278.733875
186,278.733875
187,278.733875
188,278.509974
189,278.509974
190,278.509974
191,278.509974
192,278.509974
193,278.509974
194,278.509974
195,278.509974
196,278.509974
197,278.509974
198,278.509974
199,278.509974
200,278.509974
201,278.509974
202,278.509974
203,278.509974
204,278.509974
205,277.127246
206,277.127246
207,277.127246
208,277.127246
209,277.127246
210,277.127246
211,277.127246
212,277.127246
213,277.127246
214,277.127246
215,277.127246
216,277.127246
217,277.127246
218,277.127246
219,277.127246
220,277.127246
221,277.127246
222,277.127246
223,277.127246
224,277.127246
225,277.127246
226,277.127246
227,277.127246
228,277.127246
229,277.127246
230,277.127246
231,277.127246
232,277.127246
233,277.127246
234,277.127246
235,277.127246
236,277.127246
237,277.127246
238,277.127246
239,277.127246
240,277.127246
241,277.127246
242,277.127246
243,277.127246
244,277.127246
245,277.127246
246,277.127246
247,277.127246
248,277.127246
249,277.127246
250,277.127246
251,277.127246
252,277.127246
253,277.127246
254,277.127246
255,277.127246
256,277.127246
257,277.127246
258,277.127246
259,277.127246
260,277.127246
261,277.127246
262,277.127246
263,277.127246
264,277.127246
265,277.127246
266,277.127246
267,277.127246
268,277.127246
269,277.127246
270,277.127246
271,277.127246
272,277.127246
273,277.127246
274,277.127246
275,277.127246
276,277.127246
277,277.127246
278,277.127246
279,277.127246
280,277.127246
281,277.127246
282,277.127246
283,277.127246
284,277.127246
285,277.127246
286,277.127246
287,277.127246
288,277.127246
289,277.127246
290,277.127246
291,277.127246
292,277.127246
293,277.127246
294,277.127246
295,277.127246
296,277.127246
297,277.127246
298,277.127246
299,277.127246
300,277.127246
301,277.127246
302,277.127246
303,277.127246
304,277.127246
305,277.127246
306,277.127246
307,277.127246
308,277.127246
309,277.127246
310,277.127246
311,277.127246
312,277.127246
313,277.127246
314,277.127246
315,277.127246
316,277.127246
317,277.127246
318,277.127246
319,277.127246
320,277.127246
321,277.127246
322,277.127246
323,277.127246
324,277.127246
325,277.127246
326,277.127246
327,277.127246
328,277.127246
329,277.127246
330,277.127246
331,277.127246
332,277.127246
333,277.127246
334,277.127246
335,277.127246
336,277.127246
337,277.127246
338,277.127246
339,277.127246
340,277.127246
341,277.127246
