iteration,mhd_score
0,386.971230
1,386.971230
2,386.971230
3,386.971230
4,386.971230
5,386.971230
6,385.623167
7,385.623167
8,385.623167
9,382.682286
10,382.682286
11,381.759681
12,364.736510
13,364.736510
14,364.736510
15,364.736510
16,364.736510
17,364.736510
18,364.736510
19,364.736510
20,364.736510
21,364.736510
22,364.736510
23,364.736510
24,364.736510
25,364.736510
26,364.736510
27,364.736510
28,364.736510
29,364.736510
30,364.736510
31,364.736510
32,364.736510
33,364.736510
34,364.736510
35,364.736510
36,364.736510
37,364.736510
38,364.736510
39,364.736510
40,364.736510
41,364.736510
42,364.736510
43,364.736510
44,364.736510
45,364.736510
46,364.736510
47,364.736510
48,348.592177
49,348.592177
50,348.592177
51,348.592177
52,339.503730
53,339.503730
54,339.503730
55,339.503730
56,339.503730
57,339.503730
58,339.503730
59,339.503730
60,339.503730
61,331.158544
62,331.158544
63,330.578191
64,330.452008
65,330.452008
66,330.326667
67,330.326667
68,330.326667
69,330.326667
70,330.326667
71,330.326667
72,330.326667
73,330.326667
74,330.326667
75,330.326667
76,330.326667
77,330.326667
78,330.326667
79,330.326667
80,330.326667
81,330.326667
82,330.326667
83,330.326667
84,330.326667
85,330.326667
86,330.326667
87,330.326667
88,330.326667
89,330.326667
90,330.326667
91,330.326667
92,330.326667
93,330.326667
94,330.326667
95,330.326667
96,330.326667
97,330.326667
98,330.326667
99,330.326667
100,330.326667
101,330.326667
102,330.326667
103,330.326667
104,330.326667
105,330.326667
106,330.326667
107,330.326667
108,330.326667
109,330.326667
110,330.326667
111,330.326667
112,330.326667
113,330.326667
114,330.326667
115,318.880795
116,318.496550
117,318.496550
118,317.730290
119,317.459489
120,317.459489
121,317.459489
122,303.564824
123,303.564824
124,303.564824
125,303.564824
126,303.564824
127,303.564824
128,303.564824
129,303.564824
130,303.564824
131,303.564824
132,303.564824
133,300.106480
134,298.843673
135,296.767318
136,296.767318
137,296.767318
138,296.767318
139,296.767318
140,287.008829
141,287.008829
142,287.008829
143,287.008829
144,287.008829
145,287.008829
146,287.008829
147,285.558177
148,276.256571
149,276.256571
150,274.387876
151,269.106171
152,269.106171
153,269.106171
154,269.106171
155,269.106171
156,265.150648
157,263.915681
158,263.915681
159,263.294412
160,259.561306
161,259.561306
162,259.561306
163,254.305505
164,253.876864
165,250.757558
166,246.336840
167,240.898271
168,240.898271
169,240.898271
170,236.683739
171,236.683739
172,236.683739
173,236.683739
174,236.683739
175,236.683739
176,236.683739
177,236.683739
178,236.683739
179,236.683739
180,236.683739
181,236.683739
182,236.683739
183,236.683739
184,236.683739
185,236.683739
186,236.683739
187,236.683739
188,236.683739
189,236.683739
190,236.683739
191,236.683739
192,236.683739
193,236.683739
194,236.683739
195,236.683739
196,236.683739
197,236.683739
198,236.683739
199,236.683739
200,236.683739
201,236.683739
202,236.683739
203,236.683739
204,234.350688
205,234.350688
206,234.350688
207,234.350688
208,234.350688
209,234.350688
210,234.350688
211,234.350688
212,234.350688
213,234.350688
214,234.350688
215,234.350688
216,234.350688
217,234.350688
218,234.350688
219,234.350688
220,234.350688
221,234.350688
222,234.350688
223,234.350688
224,234.350688
225,234.350688
226,234.350688
227,234.350688
228,234.350688
229,234.350688
230,234.350688
231,234.350688
232,234.350688
233,234.350688
234,234.350688
235,234.350688
236,234.350688
237,234.350688
238,234.350688
239,234.350688
240,234.350688
241,234.350688
242,234.350688
243,234.350688
244,234.350688
245,234.350688
246,234.350688
247,234.350688
248,234.350688
249,234.350688
250,234.350688
251,234.350688
252,234.350688
253,234.350688
254,234.350688
255,234.350688
256,234.350688
257,234.350688
258,234.350688
259,234.350688
260,234.350688
261,234.350688
262,234.350688
263,234.350688
264,234.350688
265,234.350688
266,234.350688
267,234.350688
268,234.350688
269,234.162065
270,234.162065
271,234.162065
272,234.162065
273,234.162065
274,234.162065
275,234.162065
276,234.162065
277,234.086432
278,234.086432
279,234.086432
280,234.086432
281,234.086432
282,234.086432
283,234.086432
284,234.086432
285,234.086432
286,234.086432
287,234.086432
288,234.086432
289,234.086432
290,234.086432
291,234.086432
292,234.086432
293,234.086432
294,234.086432
295,234.086432
296,234.086432
297,234.086432
298,234.086432
299,234.086432
300,234.086432
301,234.086432
302,234.086432
303,234.086432
304,234.086432
305,234.086432
306,234.086432
307,234.086432
308,234.086432
309,234.086432
310,234.086432
311,234.086432
312,234.086432
313,234.086432
314,234.086432
315,234.086432
316,234.086432
317,234.086432
318,233.977860
319,233.977860
320,233.977860
321,233.977860
322,233.977860
323,233.977860
324,233.977860
325,233.977860
326,233.977860
327,233.977860
328,233.977860
329,233.977860
330,233.977860
331,233.977860
332,233.977860
333,233.977860
334,233.977860
335,233.977860
336,233.977860
337,233.977860
338,233.977860
339,233.977860
340,233.977860
341,233.977860
