iteration,mhd_score
0,382.287878
1,382.287878
2,382.287878
3,382.287878
4,382.287878
5,382.287878
6,381.189829
7,381.189829
8,381.189829
9,378.343540
10,378.343540
11,377.653650
12,360.636239
13,360.636239
14,360.636239
15,360.636239
16,360.636239
17,360.636239
18,360.636239
19,360.636239
20,360.636239
21,360.636239
22,360.636239
23,360.636239
24,360.636239
25,360.636239
26,360.636239
27,360.636239
28,360.636239
29,360.636239
30,360.636239
31,360.636239
32,360.636239
33,360.636239
34,360.636239
35,360.636239
36,360.636239
37,360.636239
38,360.636239
39,360.636239
40,360.636239
41,360.636239
42,360.636239
43,360.636239
44,360.636239
45,360.636239
46,360.636239
47,360.636239
48,360.636239
49,360.636239
50,360.636239
51,360.636239
52,360.636239
53,360.636239
54,360.636239
55,360.636239
56,360.636239
57,360.636239
58,360.636239
59,360.636239
60,360.636239
61,360.636239
62,360.636239
63,360.636239
64,360.636239
65,360.636239
66,360.636239
67,360.636239
68,360.636239
69,360.636239
70,360.636239
71,360.636239
72,360.636239
73,360.636239
74,360.636239
75,360.636239
76,360.636239
77,360.636239
78,360.636239
79,360.636239
80,360.636239
81,360.636239
82,360.636239
83,360.636239
84,360.636239
85,360.636239
86,360.636239
87,360.636239
88,360.636239
89,360.636239
90,360.636239
91,360.636239
92,360.636239
93,360.636239
94,360.636239
95,360.636239
96,360.636239
97,360.636239
98,360.636239
99,360.636239
100,360.636239
101,360.636239
102,360.636239
103,360.636239
104,360.636239
105,360.636239
106,360.636239
107,360.636239
108,360.636239
109,360.636239
110,360.636239
111,360.636239
112,360.636239
113,360.636239
114,360.636239
115,360.636239
116,360.636239
117,360.636239
118,360.636239
119,360.636239
120,360.636239
121,360.636239
122,360.636239
123,360.636239
124,360.636239
125,357.586512
126,357.586512
127,357.586512
128,357.586512
129,355.283033
130,346.801016
131,344.575637
132,340.773281
133,339.999471
134,338.939047
135,338.939047
136,337.550776
137,337.550776
138,337.550776
139,336.334872
140,336.334872
141,336.334872
142,336.334872
143,335.826122
144,335.826122
145,335.826122
146,335.826122
147,335.826122
148,334.512220
149,334.512220
150,333.250460
151,332.142182
152,330.834758
153,330.834758
154,330.834758
155,330.834758
156,330.834758
157,330.834758
158,330.834758
159,330.834758
160,330.834758
161,330.834758
162,330.834758
163,330.834758
164,330.834758
165,330.834758
166,330.834758
167,330.834758
168,330.834758
169,330.834758
170,330.834758
171,330.834758
172,330.834758
173,330.834758
174,330.834758
175,330.834758
176,330.834758
177,330.834758
178,330.834758
179,330.834758
180,330.834758
181,330.834758
182,330.834758
183,330.834758
184,330.834758
185,330.590923
186,329.130936
187,329.130936
188,329.130936
189,329.130936
190,329.130936
191,329.130936
192,329.130936
193,329.130936
194,329.130936
195,329.130936
196,329.130936
197,329.130936
198,329.130936
199,329.130936
200,329.130936
201,329.130936
202,329.130936
203,329.130936
204,329.130936
205,329.130936
206,329.130936
207,329.130936
208,329.130936
209,329.130936
210,329.130936
211,329.130936
212,329.130936
213,329.130936
214,329.130936
215,329.130936
216,329.130936
217,329.130936
218,329.130936
219,329.130936
220,329.130936
221,329.130936
222,329.130936
223,329.130936
224,329.130936
225,329.130936
226,329.130936
227,329.130936
228,329.130936
229,329.130936
230,329.130936
231,329.130936
232,329.130936
233,329.130936
234,329.130936
235,329.130936
236,329.130936
237,329.130936
238,329.130936
239,329.130936
240,329.130936
241,329.130936
242,329.130936
243,329.130936
244,329.130936
245,329.130936
246,329.130936
247,329.130936
248,329.130936
249,329.130936
250,329.130936
251,329.130936
252,329.130936
253,329.130936
254,329.130936
255,329.130936
256,329.130936
257,329.130936
258,329.130936
259,329.130936
260,329.130936
261,329.130936
262,329.130936
263,329.130936
264,329.130936
265,329.130936
266,329.130936
267,329.130936
268,329.130936
269,329.130936
270,329.130936
271,329.130936
272,329.130936
273,329.130936
274,329.130936
275,329.130936
276,329.130936
277,329.130936
278,329.130936
279,329.130936
280,329.130936
281,329.130936
282,329.130936
283,329.130936
284,329.130936
285,329.130936
286,329.130936
287,329.130936
288,329.130936
289,329.130936
290,329.130936
291,329.130936
292,329.130936
293,329.130936
294,329.130936
295,329.130936
296,329.130936
297,329.130936
298,329.130936
299,329.130936
300,329.130936
301,329.130936
302,329.130936
303,329.130936
304,329.130936
305,329.130936
306,329.130936
307,329.130936
308,329.130936
309,329.130936
310,329.130936
311,329.130936
312,329.130936
313,329.130936
314,329.130936
315,329.130936
316,329.130936
317,329.130936
318,329.130936
319,329.130936
320,329.130936
321,329.130936
322,329.130936
323,329.130936
324,329.130936
325,329.130936
326,329.130936
327,329.130936
328,329.130936
329,329.130936
330,329.130936
331,329.130936
332,329.130936
333,329.130936
334,329.130936
335,329.130936
336,329.130936
337,329.130936
338,329.130936
339,329.130936
340,329.130936
341,329.130936
